Word1	Word2	pwMI
the	upper	2.71352988605
henry	margaret	6.65435996094
away	first	2.38494400315
either	assumed	5.55678019689
these	unhunh	1.11857488091
funny	is	1.75207861221
new	f	2.13847787625
kick	that	1.75039322716
he's	mellower	6.03009508744
with	claire	3.96990905906
done	all	1.10819736914
christians	we	3.38125398201
this	money	0.0616462843576
vote	everyone	5.77914925481
basically	they'd	4.80544207787
they	because	-1.56999111866
a	injury	2.56042828064
people	a	-1.20367459471
laws	that	2.9030727371
sobbing	shut	9.8670629267
arch	cause	5.41989698986
this	country	3.14126004189
home	after	3.15940158646
got	on	1.06382774329
mention	it	1.9774020511
go	and	-0.0934310961524
broadcast	system	7.76857319005
my	job	2.12506162619
oo	but	1.63064239944
are	local	3.85353586433
three	like	-0.443334843116
little	beepbeepbeep	3.71220483268
my	fucking	2.63588724995
spade	would	4.0949031546
a	touch	1.23867244066
feeders	in	3.75270024327
aldermen	political	8.99802507968
it	hardened	4.05684359278
until	nineteen	3.47759695302
don't	underst	5.23457693007
burp	okay	4.33946702027
this	duct	2.33032982568
thank	you	3.55107364826
that's	mighty	4.0749878449
water	enough	2.72563510589
live	it	-0.0862911336161
learn	like	1.1429806519
navy	orders	7.59573037721
just	for	-0.153151976247
does	oh	-0.428633019948
i'm	all	-1.43324607453
trouble	he	1.51663295316
or	explicit	5.40115480805
prayed	for	3.79508241114
that	year	0.510240766258
cakes	you	1.72470864985
uh	evaluated	4.87610719055
current	thirty	5.38972611222
hush	hush	10.2347877068
load	the	1.61491759738
my	checks	3.5803488588
card	dealer	8.37156927362
that	knee	1.75039322716
bother	she	2.41074169597
young	i've	3.30233981525
brother	because	2.35726412219
they're	singing	4.89724962712
sight	just	3.22628252474
five	times	3.80231217357
of	making	1.14884385815
later	yeah	0.545112378175
fitting	em	5.71541751064
far	were	2.04301691584
scrimmage	that	4.00168502577
mean	years	0.55422150807
liability	tri	10.2347877068
really	icky	5.134921279
ex	two	2.16360387883
minute	two	2.81901073141
test	somewhere	5.93977244914
however	it	2.11093344372
i	kne	3.43338108587
lakefront	so	3.65878249813
hurts	right	2.40462709497
echado	la	9.13617541816
they	regard	3.64494463894
right	that	-0.901736184021
a	storage	2.56042828064
that	sucker	2.9030727371
have	respect	3.52982883783
every	boy	3.93522590252
the	threequarters	3.40667706661
or	chrysler	4.70800762749
has	nothing	2.77442527006
know	once	1.04084775622
of	paint	2.46888883373
correct	alright	4.32489481341
monsoon	storms	11.7388651036
s	you're	1.47290693453
that	place	-0.642705873374
family	no	1.17759851434
i've	learned	4.27578896097
farther	which	5.75745089235
a	judy	1.1135092977
sean	mm	4.54743577357
blow	had	3.1270892697
mansion	yeah	3.89501646545
and	f	-0.298093382221
it	damn	0.837967767907
it'd	be	4.88873893746
navy	i	0.794323756259
mira	l	6.94307455801
di	i	1.03548581308
you're	an	1.42188916019
not	but	-0.496673135942
have	things	-0.601329697518
bells	what	4.93702605021
so	judy	1.92418144274
spiritual	source	8.33766772194
helped	him	3.51940432049
around	okay	1.21857160376
pr	a	2.15496317253
assistant	but	3.63597596896
preakness	however	10.4861021351
know	religious	2.62129813178
um	sabrina	3.70618022763
she	evidently	3.50935398464
dressing	all	4.32038420585
matt	yeah	1.45266943008
spaces	they	4.05040974705
class	situation	5.65893190851
up	the	0.623725557334
us	doing	1.19205106549
i'm	serious	2.80718099287
them	get	-0.292577330757
italian	family	7.54921036158
floor	plan	4.86363301633
truck	they	2.66411538593
fifty	degrees	5.09507537045
interrupt	for	5.18137677226
never	buy	2.87031106307
homing	star	8.56081127325
have	double	1.78062898302
based	upon	7.22800559709
an	oh	-0.9447079996
whoops	you're	5.17008519146
taking	hello	5.72392820031
stayed	i	0.660792363635
em	on	1.76738406769
and	watch	1.36816100526
s	sliced	6.24992737745
dog	was	1.29888418055
nowadays	here	4.68053696614
other	fourth	3.15935460612
lcl	yeah	1.64372466684
i'd	do	1.21144201592
the	protagonist	3.40667706661
proposed	plans	8.69434266588
do	indonesian	4.50108691168
wasn't	necessarily	4.90421829644
tree	so	2.52380256529
that	truly	2.39224711333
through	that's	-0.129704774492
leg	yeah	1.25595913583
believe	for	0.738725515773
strikes	the	2.30806477794
mega	center	8.71034300723
takes	me	2.87496649928
send	them	4.33071339634
replacing	old	6.60896638868
we	break	1.46433136983
have	hm	-0.912822418663
trip	this	1.63718264512
humorous	well	5.10423174574
rooms	done	6.32945368955
sudden	well	2.10849947219
tuesday	she's	4.18191453159
of	person	-0.0901257882114
our	guests	6.84102530365
of	sherry	2.1434664333
there	yeah	1.07248084091
still	hear	3.00012964224
to	discuss	3.02323097351
and	green	0.418584295749
when	y	0.705848159763
talking	we	0.0208785948687
thing	too	0.701961340203
do	though	1.3092397592
exactly	managerial	7.82684209817
rotor	and	2.07681237235
man	might	2.45504195487
evidently	that	2.20992555654
the	postage	2.71352988605
than	usual	6.70842718221
gay	aa	6.83359032516
maid	neat	7.61982792879
his	liver	4.65421965782
the	fact	2.18851962729
offense	but	4.88873893746
oh	is	-0.555257083542
well	laundry's	5.10423174574
needs	an	2.72539155986
damn	lights	6.21740418574
must've	had	3.74019374259
up	to	1.1378780631
obviously	x	3.63521959649
years	so	0.955186647377
maybe	t	2.40559938479
most	men	4.72091103232
drives	the	1.61491759738
i'll	move	2.80467356826
geography	the	2.02038270549
so	for	-1.39462843643
tomorrow	but	1.10454930354
safety	and	2.5468160016
be	darned	5.3587425667
did	um	-0.935459638135
round	you	1.03156146929
so	whatever	0.15222460081
mean	is	0.00443275926839
hundred	ninety	3.91842558834
horse	that	0.617294762422
know	plastic	2.16931300804
freeze	what	3.83841376154
pneumonia	oh	3.39127469657
towers	goes	6.11304417042
l.	why	2.82881934213
awfully	it's	3.86374582256
housing	provider	9.09980777399
roman	circus	11.7388651036
equality	peace	10.1294271912
typically	say	4.66136705003
little	figurine	6.27715419015
wow	wow	3.06774982991
kick	myself	5.96121278038
save	it	1.85961901544
a	later	0.596818554484
w	no	1.09988953002
problem	oh	0.66997926872
filming	it	2.95823130411
like	dreaming	3.31203435227
um	s	0.856299831093
annoying	the	1.61491759738
talks	or	3.45524465899
talk	and	0.327612517543
where	thyou	6.52665043611
water	becomes	5.15338334184
know	so	0.358326686269
melanie	lies	10.1294271912
lights	are	3.34271024056
mortgage	they	3.35726256649
from	there	1.50584278468
is	typical	2.73290786522
cry	no	3.57549378714
bread	or	2.91624815826
know	ordinary	3.87406110027
this	pretty	-0.377720375426
us	getting	1.85578436084
he	unh	1.12576664448
to	axe	3.93952170539
they	don't	1.78022807811
s	call	1.88682875266
then	what	0.201802735975
ordering	his	5.26035546139
mess	in	2.19455562522
of	stars	1.85578436084
appointment	but	4.1955917569
mind	as	2.98167124381
recycling	yes	6.33618772173
wasn't	getting	2.37485988408
an	interesting	4.42516863938
this	accompaniment	4.81523647546
good	rest	2.52055656198
some	tights	6.20547561487
cases	because	3.72056896509
nice	gentlemanly	7.45527854174
gonna	fight	3.7719316052
because	id	3.55351488042
educated	themselves	7.86766409269
with	ron	3.34130039964
correct	that's	2.53454280395
can	stack	4.22270387252
and	paint	0.898157376011
okay	hunh	1.13401421573
are	realizing	4.952148153
carmela	and	3.46310673347
indiana	i	1.82394317344
england	and	1.75835864123
does	feel	2.49180714869
determine	through	5.33694790688
that's	auto	2.53454280395
jump	today	5.32213282109
a	brother	0.878669706625
are	lucky	3.0803459761
pull	these	2.4461616412
we	recorded	3.19893242522
vote	in	3.01873106819
mm	um	-0.153044592226
thigh	i	1.35393954419
yeah	kevin's	2.79640417678
black	x	2.39089549664
the	teacher	2.18290163499
another	seat	4.71778113931
is	often	1.78844625638
eleven	all	1.80807858188
fort	myers	11.7388651036
tall	ladies	8.91748621719
the	mansion	2.71352988605
i'd	written	4.30608548145
a	real	2.18886472421
the	hourly	3.0012119585
salt	water	5.2711663775
deb	hello	8.76845063803
nasty	disposition	10.0341170114
role	but	3.79012664879
he	turned	2.31675225327
strongly	felt	8.79442612444
gain	that	3.30853784521
him	hold	2.17962997501
governed	by	5.97996332973
see	tom	3.10522309954
another	stone	4.92542050409
mom	grandma	4.72405075233
many	years	3.79352223779
just	formed	5.01804199397
tighten	up	4.2737823672
i'll	loan	4.30875096504
otter	lisa	10.8225743717
proposal	that	2.05577487671
you'll	provide	6.55989449469
pile	to	1.86008016371
within	that	2.05577487671
but	their	-0.0600209529213
wire	mhm	3.47424427419
loved	it	2.57523905185
um	did	1.36712545486
and	orville	2.3644944448
fifteen	mhm	1.45934125365
gate	because	3.07394180016
also	because	1.27427715143
a	v	2.0008124927
spend	you	-0.0182606552077
amen	coming	4.37685455234
while	then	0.945687500989
great	uh	0.26098667371
much	don't	-0.482450771341
conflict	of	3.24207872196
pardon	the	1.20945248927
brazilian	music	8.33766772194
sc	because	6.11846423789
obviously	i	0.600167741818
worst	part	5.15822596632
a	taller	3.94672264176
belly	but	4.1955917569
look	okay	-0.272347708436
saved	from	3.96065362909
three	foot	3.52914861197
invited	doctor	6.72490201941
unheard	of	4.34069101063
was	painted	2.17435291791
cardazam	is	4.67881801428
good	if	-0.877779587404
know	if	2.17787226143
l	public	4.80300839451
really	makes	1.70093407452
does	campbell's	6.30951947465
i'd	give	2.96235073475
the	burden	3.0012119585
is	covered	3.58020572561
ho	hum	8.69434266588
face	oh	2.63358899487
moved	down	3.50855430447
then	he'll	2.32151056224
other	shit	3.10892375249
bad	odds	6.39175757288
else	hey	3.38254513777
molecules	in	2.49993727477
except	it	0.473324654319
national	lived	6.87133065315
not	now	-1.05356123617
vfr	arrival	10.6402528149
go	off	2.79130050933
the	addition	1.79723915418
one	shoer	4.65296363924
five	years	4.28672048402
a	friendly	2.56042828064
adjust	the	2.02038270549
know	fell	2.16931300804
other	i	-1.37336847351
happy	but	0.598279496308
be	okay	-0.248896047401
that	strange	1.60378975297
on	unhunh	0.405290611981
pour	me	2.49547687758
roy	had	4.00255800705
account	we	1.58949451278
beepbeepbeep	sucker	8.76845063803
here	eight	0.903951931608
the	hunter	2.02038270549
s	sending	4.64048946501
irons	on	4.38963427899
weeks	i'll	2.84241389625
x	the	-1.17060791589
creates	a	3.94672264176
it	what'd	1.22363024872
interests	and	2.3644944448
her	being	1.1936815721
that	discharge	2.20992555654
owe	pretty	5.62961752084
step	of	1.45031925274
why	one	-0.428440725748
a	complaint	1.64413754877
just	part	0.383313005742
would	rather	3.05344927977
eat	much	2.15063639129
nested	values	9.79295495455
right	into	1.3682279908
both	laughed	6.66369128837
was	involved	2.17435291791
school	is	1.19246282428
they	tell	1.18820886612
lebanon	is	3.29252365316
wick	perpendicular	11.7388651036
started	falling	5.85276107215
a	standardbred	2.84811035309
mathematical	and	2.76995955291
food	it	0.185642581868
ta	get	3.10069398563
trish	is	2.5993764726
he	it	-3.7230415223
showing	a	1.46181599197
say	ex	3.19502998124
and	order	-0.408094277435
chicago	in	1.07855159384
big	when	0.381798443141
pamela	tucker	9.65942356192
warped	i	2.74023390531
the	venues	3.40667706661
what	if	0.691392040443
was	treated	3.78379083034
applebaums	i	2.33476879721
pristine	land	9.94710563437
works	okay	1.77451766281
this	for	-0.825961124001
how	long	3.97104852646
functions	or	4.70800762749
same	he	-0.253147609347
just	tell	1.46269393248
rickie	okay	4.05178494782
late	unhunh	3.37249480192
came	loose	5.68677593468
bought	they	0.64921236539
guide	because	4.73216987677
aw	wouldn't	3.38501471038
hey	zeus	7.28451780735
first	degree	5.93072261362
yeah	about	-1.50201437403
movie	we're	3.19707686533
only	like	0.403313455702
her	more	0.0625460917237
others	in	1.67325870159
punch	redial	8.96627638136
how	about	2.07388659614
virgin	when	4.18400658256
sell	us	4.48045295301
washington	is	2.28092274148
lights	aren't	6.30078579468
hm	oh	1.11767714045
coffee	tomorrow	5.70338367108
his	home	1.09369023759
some	activities	6.20547561487
bulky	you	3.67061879891
put	oh	-1.17930404465
experienced	and	1.26588215614
my	brains	4.83311182729
nobody	w	3.48251733068
plastic	baggie	10.0341170114
cartilage	and	2.3644944448
electrical	how'd	9.43628001061
concept	that	2.53534795697
